Video Title,Channel,Comment Author,Comment,Likes
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Amanda Nettles,Thank you for this review. I have extremely oily skin and drug store foundation just doesn&#39;t work for me. I used to use KVD tattoo foundation before they changed there formula and I lived it. Next I&#39;m going to try Estee Lauder double wear foundation. It is supposed to be the best on the market for oily skin.,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Bianca,"There’s a new shade called amber, please try it for us",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Candice Morrison,"Great review! People love to jump on the band wagon, doesn&#39;t really matter if the product is good! ?? Thanks for your time and skill on this video! Great job, Candace! ??",4
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Roha Rana,Hi candance love From ???? Pakistan best review on this foundation I &#39;ve seen love you girl,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,The Truth,this is the BEST review on this planet ...THANK YOU ?,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Sara adams,I have melasma under my eyes I&#39;ll be trying this thanks,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Chrystal,"I have really bad pigmentation, so happy to come across your video",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Kelly Dunn,Sponge side looks great I bought yhis in ivory can&#39;t wait to try it ty for the review.......you did a great job!!!!!,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Sana fatima,I have very fair indian skin on yellow undertone side warm under tone.<br><br>I&#39;m confused to pick the right shade for myself.<br>Vanilla and ivory only this shades are available in my country.<br><br>Which one would be the perfect shade for my skin please suggest,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Katie Rogman,How are you today,0
